Id,Clothing Type,Sex,Color,Brand,Price,Images,1st Image Preview,Miscellaneous
563,Kleid,Weiblich,Blau,,109,[http://imgs7.hessnatur.com/is/image/HessNatur/onmacon_m/Kleid_aus_reiner_Seide-Z_35847_17_1_F.jpg],,"hessnatur: Kleid aus reiner Seide, Farbe: marine-bedruckt, Größe: 3...Bequem geschnittenes Kleid mit lockerer, erhöhter Taillennaht und gerafft angesetztem Rock mit breitem Saumbeleg. Unterhalb der Schulterpasse unterstreicht eine feine Kräuselung die feminine Optik. Mit 4-Knopf-Leiste und innen belegtem Ausschnitt sowie zwei Nahttaschen und schmalen Bindebändchen an den Seiten. Ungefüttert.In Größe 38 ca. 100 cm lang.Passform: bequem100% Seide."
564,Kleid,Weiblich,Schwarz,Calvin Klein,99,"[http://www.karstadt.de/dbimages/mo/1/1320107271_g.jpg,http://www.karstadt.de/dbimages/mo/1/1320107271_d.jpg]",,"Calvin Klein Jeans Kleid, schwarzSchickes Kleid der Marke Calvin Klein Jeans. Dieses Kleid ist ärmellos und verfügt stattdessen über breite Träger, die um schmale Spaghettiträger erweitert werden, welches dessen individuellen Look hervorhebt. Ein besonders schickes Detail besteht in dem schmalen Gürtel mit einer kleinen, silbernen Schnalle, die eine hübsche Taillierung des Kleides hervorruft und somit dessen feminines Design in den Mittelpunkt stellt. Pflegehinweis: 30°C SchonwaschgangProdukttyp: kurzes KleidZielgruppe: DamenMaterial: Außenmaterial: 96% Viskose, 4% Elasthan, Besatz: 100% PolyesterFotoauftrag: KQ-1866Produktart: KleiderAusführung: ärmellosFarbe: schwarz"
565,Kleid,Weiblich,Schwarz,Space Style,65,[http://cdn.yoox.biz/34/34274214LQ_14_F.JPG],,space style concept kurze kleider
567,Kleid,Weiblich,Schwarz,,79.9,[http://www.bader.de/medias/sys_master/celum_assets/2012FK1_0198030FS_yb_1_local_l_local_l.jpg?0],,"Party-KleidFantastisches, schwarz-gold-silberfarbenes Party-Kleid in leicht taillierter Schlupfform, mit überschnittener, schwarzer Schulterpartie, Wasserfallkragen, Wiener Nähten im Vorderteil sowie glockig auslaufendem Rockteil."
568,Kleid,Weiblich,Grau,,29.97,[http://images.tom-tailor.com/bilder/produktbilderIM/al/9d7ccfc1-a886-0104-e936-f87759b4c0ce.jpg],,"leichtes Kleid aus Voile für Frauen (unifarben) mit 3/4 Arm, leicht abgerundeter V-Neck, feminine Raffungen auf der Schulterpartie, mit Flechtgürtel in Kontrastfarben, TOM TAILOR Denim Metall-Coin vorne am Saum."
595,Jeans,Männlich,Blau,Diesel,159.95,"[http://static.smartkids.dk/smartguy/203955/559/203955_1_2_559.jpg,http://static.smartkids.dk/smartguy/203955/559/203955_4_2_559.jpg]",,Diesel 'Tepphar' JeansDiesel 'Tepphar' Jeans. Knopfverschluss. Hosenbeinbreite: 16 cm. Material: 99% Baumwolle und 1% Elasthan.
597,Jeans,Männlich,Blau,,79.99,"[http://www.breuninger.com/medias/sys_master/pod/2013/01/9101796737054.jpg,http://www.breuninger.com/medias/sys_master/zoom/2013/01/9101796638750.jpg]",,REPLAY Jeans JENNON blauDie charakterstarke Jeans JENNON von REPLAY lässt Sie immer cool aussehen! Die Jeans aus Raw-Denim besticht durch super moderne Waschung mit von Hand gebleachten Effekten im Used-Look.Reguläre Passform Verkürzte Leibhöhe Gerades Hosenbein Button-Fly-Verschluss Destroyed-Effekte Maße bei Größe 32/32: Bundweite: 86 cm Innenbeinlänge: 81 cm Fußweite: 39 cm
598,Jeans,Männlich,Blau,,129.95,[http://hugoboss.scene7.com/is/image/hugoboss/20_hbeu50244642_420_10?$re_fullPageZoom$],,"Regular-Fit Jeans ´Scout1`Coole Jeans (Regular-Fit) von BOSS im authentischen 5-Pocket Stil. Der normal hohe Bund mit geknöpfter Leiste und die gerade Beinform verleihen der Hose ihre klassisch-maskuline Passform.Das Model trägt die Größe 33/32, bei einer Körpergröße von 188 cm und einem Taillenumfang von 78 cm.Regular-FitReine BaumwolleDezente WaschungNormal hoher Bund mit geknöpfter Leiste5-Pocket StilPenny Pocket mit Logo-AufnäherLogo-Nieten-DetailsLeder-Label hinten am BundBeinweite: 43 cm"
599,Jeans,Weiblich,Blau,,89.95,"[http://www.gang-fashion.com/images/product_images/popup_images/454_0.jpg,http://www.gang-fashion.com/images/product_images/popup_images/454_1.jpg,http://www.gang-fashion.com/images/product_images/popup_images/454_2.jpg]",,"Gang Suzy Bootcut Jeans W255-pocket Pants mit leicht ausgestelltem Bein und niedriger Leibhöhe. Kleine aufgesetzte Taschen hinten mit mehrfach gesteppten Nähten sorgen für einen süssen, kleinen Po. Ein breiter Bund mit 2 Knöpfen, kleine und große Gürtelschlaufen geben ihr einen jungen frischen Look."
601,Jeans,Männlich,Schwarz,Diesel,159.95,"[http://static.smartkids.dk/smartguy/203955/559/203955_1_2_559.jpg,http://static.smartkids.dk/smartguy/203955/559/203955_4_2_559.jpg]",,Diesel 'Tepphar' JeansDiesel 'Tepphar' Jeans. Knopfverschluss. Hosenbeinbreite: 16 cm. Material: 99% Baumwolle und 1% Elasthan.
602,Jeans,Weiblich,Blau,,59.99,"[http://img4.guna.de/img/artikel/img.d/kat.d/zoom.d/34264-DNg.jpg,http://img4.guna.de/img/artikel/img.d/kat.d/zoom.d/34264-DNd2.jpg]",,"Only Low Ebba REA184 31/32 denim Damen Bootcut Jeans in BlauOnly Low Ebba REA184 Damen Bootcut Jeans - Low Ebba REA184 in denim in 31/32 - Only Low Ebba REA184 in Blau im Online Shop auf guna.de kaufen (80% Baumwolle, 18% Polyester, 2% Elasthan - 15066577)"
